date,chl,phy,ph,Celsius,spcond,do,turb,Salinity
7/12/2015,2.437157895,0.762421053,8.402631579,28.24404255,0.121536842,9.897684211,3.186947368,2.617873681
7/13/2015,2.088631579,0.706421053,8.167157895,28.04684211,0.122684211,9.170105263,3.087578947,2.65456389
7/14/2015,1.901382979,0.621595745,7.817659574,27.60691489,0.11612766,8.451489362,2.983829787,2.526561315
7/15/2015,1.788,0.665894737,7.786315789,28.18968421,0.118178947,8.296526316,2.911789474,2.543627628
7/16/2015,1.343368421,0.570210526,7.698842105,27.00021053,0.122347368,7.937263158,2.767894737,2.704814882
7/17/2015,2.468020833,0.791145833,7.794166667,27.2440625,0.12425,8.3459375,3.14875,2.735678096
7/18/2015,6.341182796,1.200752688,7.757096774,27.01376344,0.125344086,8.213010753,3.502580645,2.774541593
7/19/2015,6.500631579,1.475052632,8.153157895,28.00389474,0.129178947,9.014105263,4.095368421,2.807055587
7/20/2015,4.053,1.723,8.605888889,29.24455556,0.130833333,10.14188889,4.744333333,2.77395296
7/21/2015,2.108191489,1.768191489,8.760957447,29.15861702,0.134489362,10.30829787,4.819148936,2.861381221
7/22/2015,1.714574468,1.481489362,8.501595745,28.63425532,0.123255319,9.584787234,3.644468085,2.637357375
7/23/2015,1.827526882,1.683548387,8.611290323,28.85849462,0.119376344,9.865591398,3.42516129,2.535373098
7/24/2015,1.846129032,1.793225806,8.702473118,28.50365591,0.12427957,9.841827957,3.686451613,2.665809357
7/25/2015,2.042,1.693368421,8.411578947,27.24589474,0.136463158,8.756276596,3.639578947,3.024788274
7/26/2015,2.287083333,1.861145833,8.3521875,25.81822917,0.140364583,8.783020833,4.089375,3.210838663
7/27/2015,2.37655914,2.010430108,8.595591398,25.98462366,0.139795699,9.357741935,4.458817204,3.185839629
7/28/2015,2.691052632,2.116631579,8.700210526,27.13021053,0.144926316,9.696947368,4.589157895,3.23144728
7/29/2015,2.466382979,2.190319149,8.811382979,28.36308511,0.147648936,10.09776596,4.755425532,3.213647227
7/30/2015,2.4596875,2.290208333,8.829791667,29.44145833,0.151604167,9.834166667,5.702916667,3.232674981
7/31/2015,2.545913978,2.597741935,8.925483871,29.67709677,0.157462366,9.78311828,5.139139785,3.350618018
8/1/2015,2.499052632,2.814210526,8.923789474,29.32884211,0.164010526,9.623789474,5.559263158,3.524405508
8/2/2015,2.036702128,2.830638298,8.903085106,29.30180851,0.169542553,9.547021277,5.777340426,3.653662285
8/3/2015,1.610833333,2.826041667,8.8528125,29.22635417,0.18040625,9.1128125,5.886979167,3.910566721
8/4/2015,1.597604167,2.647291667,8.842291667,29.35885417,0.18953125,8.6375,5.7825,4.112076905
8/5/2015,1.957789474,2.669263158,8.957789474,29.23084211,0.194926316,9.216,5.893263158,4.248725103
8/6/2015,2.180104167,2.731354167,8.9896875,28.81135417,0.199208333,9.555520833,5.834791667,4.386527101
